19,1905,化工/能源,1905,42801,1604,IAB3-8
19,1906,仪表仪器,1906,42801,1602,IAB21-2
19,1907,纸业印刷,1907,42801,1604,IAB3-1
19,1908,交通物流,1908,41504,1701,IAB3-10
19,1909,法律法规,1909,42801,1702,IAB11-2
19,1910,商务贸易,1910,42801,1702,IAB22-4
19,1911,其他,1911,42801,1702,IAB9-31
20,2001,综合门户,2001,41801,202,IAB12-1
20,2002,地方媒体,2002,41802,205,IAB12-3
20,2003,媒体报刊,2003,41801,205,IAB12-2
20,2004,广播/电视,2004,41801,205,IAB12-3
20,2005,政史军事,2005,41805,201,IAB11-4
20,2006,其他,2006,41801,205,IAB11-5
20,2007,产经,2007,41801,203,IAB21-3
20,2008,科技,2008,41801,203,IAB19-18
21,2101,摄影,2101,40101,704,IAB9-23
21,2102,琴棋书画,2102,40101,704,IAB9-12
21,2103,设计,2103,41003,704,IAB19-34
21,2104,曲艺,2104,40101,704,IAB1-6
21,2105,鉴赏收藏,2105,40101,704,IAB9-10
21,2106,其他,2106,40101,704,IAB18-2
22,2201,小说阅读,2201,41101,604,IAB9-13
22,2202,文化文学,2202,41101,604,IAB1-1
22,2203,电子书,2203,41101,604,IAB9-11
22,2204,其他,2204,41102,604,IAB5-3
23,2301,综合人才网站,2301,42201,1301,IAB3-9
23,2302,地方人才网站精选,2302,42201,1302,IAB3-9
23,2303,行业人才网站,2303,42201,1302,IAB3-9
23,2304,其他,2304,42201,1303,IAB4-1
24,2401,购物综合,2401,2003,1702,IAB22
24,2402,家居用品,2402,2003,902,IAB10-5
24,2403,数码家电,2403,2003,1702,IAB10-1
24,2404,导购比价,2404,42501,1702,IAB22-3
24,2405,电子支付,2405,2003,1702,IAB19-18
24,2406,其他,2406,2003,1702,IAB22-2
25,2501,美食,2501,42501,1401,IAB8-4
25,2502,零食,2502,42501,1402,IAB8-8
25,2503,饮料,2503,42501,1403,IAB8-6
25,2504,烟酒,2504,42501,1404,IAB8-18
25,2505,保健食品,2505,42501,1405,IAB8-17
25,2506,其他,2506,42501,1406,IAB8-5
26,2601,服装,2601,42501,1501,IAB18-5
26,2602,鞋靴,2602,42501,1502,IAB18-5
26,2603,配饰,2603,42501,1503,IAB18-6
26,2604,珠宝首饰,2604,42501,1504,IAB18-4
26,2605,箱包,2605,42501,1505,IAB18-6
26,2606,钟表,2606,42501,1506,IAB9-10
26,2607,奢侈品,2607,42501,1507,IAB18-6
26,2608,眼镜,2608,42501,1508,IAB18-6
